
fran,12345
& C:/Users/jvoitier/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/jvoitier/Desktop/programa/py.py,& C:/Users/jvoitier/AppData/Local/Microsoft/WindowsApps/python3.10.exe c:/Users/jvoitier/Desktop/programa/py.py
,
fran,1234,04/24/2023 10:2030
fran,1234,04/12/2003 10:00:00
fran,123,1682374433
fran,12345,1682374446
fran,12345,2023-04-24 17:16:29
fran,1234,2023-04-24 17:27:40
fran,123,2023-04-24 17:28:09
fran,12345,2023-04-24 17:45:45
frank,iikenb,2023-04-24 17:49:51
josjdo,jnkj,2023-04-24 17:51:36
joshuavoiteir,njkenk,2023-04-24 17:58:22
joshua,dkncikd,2023-04-24 18:01:15
joshua,knknx,2023-04-24 18:02:08
joshua,jsbdj,2023-04-24 18:02:25
joshua,jsbdj,2023-04-24 18:02:50
joshua,hsbhs,2023-04-24 18:04:01
joshua,jsjs,2023-04-24 18:04:46
joshua,jdbjs,2023-04-24 18:05:23
joshua,jsnj,2023-04-24 18:06:20
joshua,jsbjbd,2023-04-24 18:07:20
joshua,jsjd,2023-04-24 18:07:56
joshua,jshjs,2023-04-24 18:08:39
joshua,jshdj,2023-04-24 18:09:46
joshua,jnjd,2023-04-25 08:35:44
joshua,ujfj,2023-04-25 08:36:32
johsua,jsb,2023-04-25 08:37:56
& C:/Users/jvoitier/AppData/Local/Microsoft/WindowsApps/python3.10.exe "c:/Users/jvoitier/Desktop/programa/proyecto final de programacion.py",jdidi,2023-04-25 08:39:32
joshua,jsikdjs,2023-04-25 08:40:35
joshua,ujdj,2023-04-25 08:44:21
joshua,ujsdj,2023-04-25 08:44:47
joshua,jjkwnk,2023-04-25 08:45:29
joshua,kskd,2023-04-25 09:22:19
joshua,hjdjhja,2023-04-25 09:23:04
joshua,hdhjshds,2023-04-25 09:24:35
joshua,djjdbsj,2023-04-25 09:25:31
joshua,jkhdj,2023-04-25 09:36:56
joshua,hdje,2023-04-25 09:37:29
joshua,duus,2023-04-25 09:38:16
joshua,hshis,2023-04-25 09:38:50
joshua,dhhb,2023-04-25 09:39:26
joshua,hdihids,2023-04-25 09:39:56
joshua,hdjjs,2023-04-25 09:40:21
joshua,kshdkjshd,2023-04-25 09:45:44
joshua,hbdsjhjds,2023-04-25 09:46:52
joshua,gdjhjds,2023-04-25 09:48:48
joshua,hjdhs,2023-04-25 09:49:08
joshua,josnbdj,2023-04-25 09:49:25
joshua,ujdshjs,2023-04-25 10:22:50
joshua,jhdbjd,2023-04-25 10:23:38
joshua,dhjd,2023-04-25 10:29:21
joshua,djhsdb,2023-04-25 10:30:03
joshua,hbv,2023-04-25 10:30:41
joshua,hdsjbsj,2023-04-25 10:32:20
joshua,jhsgj,2023-04-25 10:47:30
joshua,jdhs,2023-04-25 10:51:52
& C:/Users/jvoitier/AppData/Local/Microsoft/WindowsApps/python3.10.exe "c:/Users/jvoitier/Desktop/programa/proyecto final de programacion.py",& C:/Users/jvoitier/AppData/Local/Microsoft/WindowsApps/python3.10.exe "c:/Users/jvoitier/Desktop/programa/proyecto final de programacion.py",2023-04-25 11:36:49
joshua,jwhdw,2023-04-25 11:37:20
joshua,jhsbd,2023-04-25 11:51:18
josua,jhsj,2023-04-25 11:52:49
joshua,hsh,2023-04-25 11:54:10
joshua,ghw,2023-04-25 12:13:00
adrian,jdsjs,2023-04-25 12:13:47
ana,ubduj,2023-04-25 12:14:22
joshua,hdueu,2023-04-25 12:17:09
& C:/Users/jvoitier/AppData/Local/Microsoft/WindowsApps/python3.10.exe "c:/Users/jvoitier/Desktop/programa/proyecto final de programacion.py",& C:/Users/jvoitier/AppData/Local/Microsoft/WindowsApps/python3.10.exe "c:/Users/jvoitier/Desktop/programa/proyecto final de programacion.py",2023-04-25 12:17:32
joshua,jbj,2023-04-25 15:18:11
joshua,ef,2023-04-25 15:41:08
joshua,fdfd,2023-04-25 15:46:25
joshua,fdf,2023-04-25 15:47:08
joshua,dfd,2023-04-25 15:48:53
joshua,isid,2023-04-25 15:50:57
joshua,fkd,2023-04-25 15:52:02
joshua,jndjd,2023-04-25 15:52:40
joshua,fd,2023-04-25 15:53:53
j,kj,2023-04-25 15:55:53
joshua,jsnjs,2023-04-25 16:11:14
joshua,dded,2023-04-25 16:13:17
joshuan,123,2023-04-25 16:14:56
joshua,fdfd,2023-04-25 17:00:10
